arm,instance,model,featurizer,featurizer_args,model_args,dataset,dataset_rows,cross_validation,fold,wall_s,featurize_s,fit_s,predict_s,dataset_load_s,peak_rss_mb,peak_vram_mb,epochs,device,X_shape,n_train,n_test,status,task_cost_usd,task_realtime_s,tier,model_class,compute_class,instance_family
batch_gpu,g4dn.2xlarge,MLP,KMersCounts,"{""k"": [1], ""modification_abundance"": false}","{""dropout"": 0.25, ""hidden_dims"": [64]}",asoptimizer_cleaned,32602,nucleobase,0,258.31079045399997,52.115592848000006,151.01489390100005,0.015442904000110502,0.48032310400003553,1515.597824,17.08544,75.0,cuda:Tesla T4,"[25428, 5]",25428.0,7174.0,ok,0.1326444399,1259.958,L,MLP,gpu,g4dn
batch_gpu,g4dn.2xlarge,MLP,KMersCounts,"{""k"": [1], ""modification_abundance"": false}","{""dropout"": 0.25, ""hidden_dims"": [64]}",asoptimizer_cleaned,32602,nucleobase,1,215.46381884000016,52.8926943030001,106.21009448599989,0.013318781999714702,0.48032310400003553,1654.718464,17.08544,53.0,cuda:Tesla T4,"[25448, 5]",25448.0,7154.0,ok,0.1326444399,1259.958,L,MLP,gpu,g4dn
batch_gpu,g4dn.2xlarge,MLP,KMersCounts,"{""k"": [1], ""modification_abundance"": false}","{""dropout"": 0.25, ""hidden_dims"": [64]}",asoptimizer_cleaned,32602,nucleobase,2,255.993616492,52.20073356600005,147.54399686099987,0.010860377999961202,0.48032310400003553,1664.073728,17.08544,81.0,cuda:Tesla T4,"[23423, 5]",23423.0,9179.0,ok,0.1326444399,1259.958,L,MLP,gpu,g4dn
batch_gpu,g4dn.2xlarge,MLP,KMersCounts,"{""k"": [1], ""modification_abundance"": false}","{""dropout"": 0.25, ""hidden_dims"": [64]}",asoptimizer_cleaned,32602,nucleobase,3,270.29031791399984,51.84588988999985,163.1802541709999,0.010607101999994484,0.48032310400003553,1668.067328,17.08544,90.0,cuda:Tesla T4,"[23507, 5]",23507.0,9095.0,ok,0.1326444399,1259.958,L,MLP,gpu,g4dn
batch_gpu,g4dn.2xlarge,MLP,KMersCounts,"{""k"": [1], ""modification_abundance"": false}","{""dropout"": 0.25, ""hidden_dims"": [64]}",asoptimizer_cleaned,32602,nucleobase,4,250.18339377899974,52.42406819100006,142.23184269800004,0.011074236999775167,0.48032310400003553,1675.870208,17.08544,71.0,cuda:Tesla T4,"[25606, 5]",25606.0,6996.0,ok,0.1326444399,1259.958,L,MLP,gpu,g4dn
batch_gpu,g4dn.xlarge,MLP,KMersCounts,"{""k"": [1, 2], ""modification_abundance"": true}","{""dropout"": 0, ""hidden_dims"": [64, 64]}",asoptimizer_cleaned,32602,nucleobase,0,244.72142346799995,67.0029763,125.37715002900006,0.07915352800000619,0.449018518999992,1525.936128,17.192448,65.0,cuda:Tesla T4,"[25428, 38]",25428.0,7174.0,ok,0.1724111186,1170.648,L,MLP,gpu,g4dn
batch_gpu,g4dn.xlarge,MLP,KMersCounts,"{""k"": [1, 2], ""modification_abundance"": true}","{""dropout"": 0, ""hidden_dims"": [64, 64]}",asoptimizer_cleaned,32602,nucleobase,1,267.54270513999995,67.73355541399997,146.58095806200004,0.10928264699998635,0.449018518999992,1639.866368,17.195008,76.0,cuda:Tesla T4,"[25448, 39]",25448.0,7154.0,ok,0.1724111186,1170.648,L,MLP,gpu,g4dn
batch_gpu,g4dn.xlarge,MLP,KMersCounts,"{""k"": [1, 2], ""modification_abundance"": true}","{""dropout"": 0, ""hidden_dims"": [64, 64]}",asoptimizer_cleaned,32602,nucleobase,2,204.028761702,67.18529709999996,83.69223806900004,0.1023505059999934,0.449018518999992,1676.156928,17.195008,47.0,cuda:Tesla T4,"[23423, 39]",23423.0,9179.0,ok,0.1724111186,1170.648,L,MLP,gpu,g4dn
batch_gpu,g4dn.xlarge,MLP,KMersCounts,"{""k"": [1, 2], ""modification_abundance"": true}","{""dropout"": 0, ""hidden_dims"": [64, 64]}",asoptimizer_cleaned,32602,nucleobase,3,194.19177123600002,67.46327228100017,73.61038185999996,0.08645344799992927,0.449018518999992,1681.354752,17.195008,41.0,cuda:Tesla T4,"[23507, 39]",23507.0,9095.0,ok,0.1724111186,1170.648,L,MLP,gpu,g4dn
batch_gpu,g4dn.xlarge,MLP,KMersCounts,"{""k"": [1, 2], ""modification_abundance"": true}","{""dropout"": 0, ""hidden_dims"": [64, 64]}",asoptimizer_cleaned,32602,nucleobase,4,251.52199149900002,67.74804497299988,130.691116469,0.09755358000006709,0.449018518999992,1663.008768,17.195008,67.0,cuda:Tesla T4,"[25606, 39]",25606.0,6996.0,ok,0.1724111186,1170.648,L,MLP,gpu,g4dn
